datum;uhrzeit;ort;beschreibung
2026-04-19;13:00;Reitverein Tangerhütte;
2026-04-25;10:00;Berufsbildungswerk Stendal;
2026-05-01;10:00;Gärtnerei Mahlwinkel;
2026-05-02;13:00;Feuerwehr Tangerhütte;
2026-05-08;;Blütenfest Rogätz;Tag 1 von 3
2026-05-09;;Blütenfest Rogätz;Tag 2 von 3
2026-05-10;;Blütenfest Rogätz;Tag 3 von 3
2026-05-14;;Sportplatz Angern;Himmelfahrt
2026-05-19;16:00;Seniorenwohnheim Dolle;
2026-05-23;14:00;Sportplatz Mahlwinkel;
2026-05-24;14:00;Dorfgemeinschaftshaus Schernebeck;
2026-05-25;11:00;Mühle Jerichow;
